State,Weather,Budget Level,Budget (INR),Transportation Options,Food,Hotels,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights
Mizoram,Sunny,High,48311,Cost Level: High,Local Cuisine: 1650 INR per day,Luxury Resort: 4309 INR per night,"Vantawng Falls, Phawngpui National Park","Trekking, Cultural Tours, River Rafting",High,4.5/5,Summer,Mizo,Moderately Safe,Yes,Local Traditions
Assam,Rainy,Low,46804,Cost Level: Low,Local Cuisine: 568 INR per day,Homestay: 3356 INR per night,"Kaziranga National Park, Majuli Island","River Rafting, Cultural Tours",Low,4.9/5,Winter,Assamese,Very Safe,No,Festival
Manipur,Sunny,Low,10953,Cost Level: Low,Local Cuisine: 566 INR per day,Homestay: 3555 INR per night,"Loktak Lake, Kangla Fort","Cultural Tours, Boating, Trekking",Moderate,4.7/5,Winter,Manipuri,Safe for Solo Travelers,Yes,Festival
Assam,Pleasant,Low,41013,Cost Level: High,Local Cuisine: 1629 INR per day,Homestay: 4523 INR per night,"Majuli Island, Kaziranga National Park",Cultural Tours,Moderate,3.9/5,Summer,Assamese,Moderately Safe,Yes,Art Exhibitions
Arunachal Pradesh,Chilly,High,14875,Cost Level: Low,Local Cuisine: 1033 INR per day,Homestay: 4214 INR per night,"Ziro Valley, Tawang Monastery",Boating,High,4.0/5,Summer,"Hindi, English",Moderately Safe,Yes,Festival
Meghalaya,Rainy,High,43244,Cost Level: High,Local Cuisine: 1649 INR per day,Luxury Resort: 1398 INR per night,"Cherrapunji, Living Root Bridges","Wildlife Safari, Trekking, Cultural Tours",Moderate,4.7/5,Summer,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions
Arunachal Pradesh,Chilly,Low,33726,Cost Level: Low,Local Cuisine: 1599 INR per day,Luxury Resort: 2724 INR per night,"Ziro Valley, Tawang Monastery",Boating,Low,4.9/5,Summer,"Hindi, English",Moderately Safe,No,Art Exhibitions
Mizoram,Rainy,Low,13284,Cost Level: Low,Local Cuisine: 1320 INR per day,Homestay: 2960 INR per night,"Phawngpui National Park, Vantawng Falls","Trekking, Wildlife Safari",Moderate,4.9/5,Winter,Mizo,Safe for Solo Travelers,No,Local Traditions
Manipur,Sunny,High,42459,Cost Level: High,Local Cuisine: 1469 INR per day,3-star: 4275 INR per night,"Kangla Fort, Loktak Lake","Trekking, Boating",High,4.3/5,Summer,Manipuri,Very Safe,Yes,Art Exhibitions
Meghalaya,Chilly,High,16673,Cost Level: High,Local Cuisine: 1534 INR per day,Homestay: 2915 INR per night,"Cherrapunji, Living Root Bridges","River Rafting, Wildlife Safari, Trekking",Moderate,4.6/5,Summer,"Khasi, Garo",Very Safe,Yes,Local Traditions
Tripura,Chilly,Low,8995,Cost Level: High,Local Cuisine: 1340 INR per day,3-star: 2942 INR per night,"Ujjayanta Palace, Neermahal","Trekking, Cultural Tours",Low,3.6/5,Winter,"Bengali, Kokborok",Safe for Solo Travelers,No,Local Traditions
Arunachal Pradesh,Pleasant,Low,28804,Cost Level: High,Local Cuisine: 1696 INR per day,Luxury Resort: 3793 INR per night,"Tawang Monastery, Ziro Valley",Cultural Tours,Low,4.1/5,Monsoon,"Hindi, English",Safe for Solo Travelers,No,Local Traditions
Manipur,Pleasant,High,24668,Cost Level: Low,Local Cuisine: 1644 INR per day,Homestay: 2467 INR per night,"Loktak Lake, Kangla Fort",River Rafting,Moderate,3.8/5,Monsoon,Manipuri,Safe for Solo Travelers,Yes,Local Traditions
Tripura,Pleasant,Low,8393,Cost Level: High,Local Cuisine: 834 INR per day,3-star: 2373 INR per night,"Ujjayanta Palace, Neermahal","Cultural Tours, Wildlife Safari, Boating",Low,3.7/5,Summer,"Bengali, Kokborok",Safe for Solo Travelers,No,Art Exhibitions
Manipur,Sunny,Low,32684,Cost Level: Low,Local Cuisine: 625 INR per day,3-star: 1283 INR per night,"Loktak Lake, Kangla Fort",Cultural Tours,Moderate,4.8/5,Monsoon,Manipuri,Very Safe,Yes,Art Exhibitions
Assam,Sunny,Low,49029,Cost Level: Low,Local Cuisine: 1418 INR per day,3-star: 2059 INR per night,"Majuli Island, Kaziranga National Park","River Rafting, Wildlife Safari, Boating",Moderate,4.7/5,Winter,Assamese,Safe for Solo Travelers,No,Local Traditions
Mizoram,Pleasant,Medium,24601,Cost Level: Low,Local Cuisine: 1697 INR per day,Homestay: 3610 INR per night,"Vantawng Falls, Phawngpui National Park",Cultural Tours,High,3.7/5,Winter,Mizo,Very Safe,No,Local Traditions
Arunachal Pradesh,Sunny,Low,30247,Cost Level: High,Local Cuisine: 1078 INR per day,Luxury Resort: 4701 INR per night,"Tawang Monastery, Ziro Valley","Boating, Trekking, Wildlife Safari",Low,3.7/5,Summer,"Hindi, English",Moderately Safe,Yes,Festival
Mizoram,Chilly,Medium,24433,Cost Level: Low,Local Cuisine: 1087 INR per day,Luxury Resort: 3045 INR per night,"Vantawng Falls, Phawngpui National Park",Cultural Tours,Low,4.7/5,Winter,Mizo,Moderately Safe,Yes,Art Exhibitions
Mizoram,Rainy,Low,36568,Cost Level: Low,Local Cuisine: 1085 INR per day,Homestay: 2824 INR per night,"Phawngpui National Park, Vantawng Falls",Cultural Tours,Moderate,4.2/5,Winter,Mizo,Very Safe,Yes,Art Exhibitions
Mizoram,Rainy,Medium,14497,Cost Level: High,Local Cuisine: 583 INR per day,Homestay: 1127 INR per night,"Vantawng Falls, Phawngpui National Park",Trekking,Low,3.7/5,Monsoon,Mizo,Safe for Solo Travelers,No,Local Traditions
Mizoram,Rainy,High,6657,Cost Level: Low,Local Cuisine: 567 INR per day,3-star: 2461 INR per night,"Phawngpui National Park, Vantawng Falls","Boating, Wildlife Safari",Moderate,4.1/5,Summer,Mizo,Moderately Safe,Yes,Art Exhibitions
Arunachal Pradesh,Pleasant,Low,11531,Cost Level: Low,Local Cuisine: 1730 INR per day,Homestay: 4955 INR per night,"Ziro Valley, Tawang Monastery",Trekking,Low,4.5/5,Winter,"Hindi, English",Very Safe,No,Festival
Tripura,Sunny,Medium,47546,Cost Level: High,Local Cuisine: 1853 INR per day,3-star: 4395 INR per night,"Neermahal, Ujjayanta Palace","Trekking, Boating, Cultural Tours",High,4.2/5,Monsoon,"Bengali, Kokborok",Very Safe,No,Art Exhibitions
Tripura,Pleasant,High,32541,Cost Level: High,Local Cuisine: 1509 INR per day,Homestay: 4734 INR per night,"Ujjayanta Palace, Neermahal","River Rafting, Wildlife Safari, Boating",Moderate,4.8/5,Summer,"Bengali, Kokborok",Very Safe,No,Art Exhibitions
Mizoram,Sunny,Low,22741,Cost Level: Low,Local Cuisine: 1688 INR per day,Homestay: 1810 INR per night,"Phawngpui National Park, Vantawng Falls","Cultural Tours, Trekking, River Rafting",High,4.8/5,Winter,Mizo,Very Safe,Yes,Art Exhibitions
Mizoram,Chilly,Medium,18703,Cost Level: Low,Local Cuisine: 1915 INR per day,3-star: 4689 INR per night,"Phawngpui National Park, Vantawng Falls",Wildlife Safari,High,4.0/5,Winter,Mizo,Very Safe,Yes,Art Exhibitions
Meghalaya,Rainy,Medium,27293,Cost Level: High,Local Cuisine: 643 INR per day,3-star: 3971 INR per night,"Living Root Bridges, Cherrapunji",River Rafting,Moderate,3.8/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,Yes,Local Traditions
Tripura,Sunny,High,35945,Cost Level: High,Local Cuisine: 1628 INR per day,Luxury Resort: 2960 INR per night,"Ujjayanta Palace, Neermahal","Cultural Tours, Wildlife Safari",Moderate,4.1/5,Monsoon,"Bengali, Kokborok",Very Safe,No,Festival
Meghalaya,Chilly,Low,42521,Cost Level: Low,Local Cuisine: 1993 INR per day,Luxury Resort: 4653 INR per night,"Living Root Bridges, Cherrapunji","Trekking, River Rafting",Low,4.0/5,Winter,"Khasi, Garo",Safe for Solo Travelers,Yes,Festival
Mizoram,Pleasant,Medium,29675,Cost Level: High,Local Cuisine: 1749 INR per day,Luxury Resort: 2256 INR per night,"Phawngpui National Park, Vantawng Falls",Boating,Moderate,3.8/5,Summer,Mizo,Moderately Safe,Yes,Art Exhibitions
Mizoram,Chilly,Low,9858,Cost Level: High,Local Cuisine: 1118 INR per day,3-star: 2972 INR per night,"Phawngpui National Park, Vantawng Falls","Cultural Tours, River Rafting",Moderate,3.6/5,Monsoon,Mizo,Moderately Safe,Yes,Art Exhibitions
Mizoram,Sunny,Low,42142,Cost Level: High,Local Cuisine: 1180 INR per day,3-star: 1434 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, Cultural Tours, Boating",Low,3.8/5,Monsoon,Mizo,Moderately Safe,No,Festival
Tripura,Chilly,Medium,8748,Cost Level: High,Local Cuisine: 1096 INR per day,Luxury Resort: 1778 INR per night,"Ujjayanta Palace, Neermahal","Trekking, Cultural Tours, Wildlife Safari",Low,4.4/5,Winter,"Bengali, Kokborok",Very Safe,No,Local Traditions
Tripura,Pleasant,High,28853,Cost Level: High,Local Cuisine: 1961 INR per day,Homestay: 2786 INR per night,"Neermahal, Ujjayanta Palace",Boating,High,4.7/5,Winter,"Bengali, Kokborok",Moderately Safe,Yes,Art Exhibitions
Meghalaya,Sunny,Low,20401,Cost Level: Low,Local Cuisine: 1678 INR per day,3-star: 3409 INR per night,"Cherrapunji, Living Root Bridges","River Rafting, Wildlife Safari, Cultural Tours",Moderate,4.2/5,Summer,"Khasi, Garo",Very Safe,No,Art Exhibitions
Nagaland,Sunny,High,40948,Cost Level: Low,Local Cuisine: 662 INR per day,3-star: 3855 INR per night,"Dzükou Valley, Kohima War Cemetery",Cultural Tours,Moderate,4.8/5,Summer,"English, Nagamese",Very Safe,No,Art Exhibitions
Manipur,Sunny,Low,27411,Cost Level: High,Local Cuisine: 1827 INR per day,3-star: 2668 INR per night,"Kangla Fort, Loktak Lake",Boating,Moderate,4.4/5,Winter,Manipuri,Very Safe,Yes,Local Traditions
Arunachal Pradesh,Sunny,Low,28041,Cost Level: High,Local Cuisine: 501 INR per day,Homestay: 4882 INR per night,"Ziro Valley, Tawang Monastery","Boating, Wildlife Safari, Cultural Tours",Low,3.7/5,Winter,"Hindi, English",Safe for Solo Travelers,No,Art Exhibitions
Nagaland,Rainy,Low,13652,Cost Level: High,Local Cuisine: 1822 INR per day,Homestay: 3996 INR per night,"Dzükou Valley, Kohima War Cemetery",Wildlife Safari,Low,3.9/5,Summer,"English, Nagamese",Moderately Safe,Yes,Local Traditions
Tripura,Sunny,High,40193,Cost Level: Low,Local Cuisine: 1989 INR per day,Luxury Resort: 4493 INR per night,"Ujjayanta Palace, Neermahal","Boating, Trekking",High,4.0/5,Summer,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Art Exhibitions
Nagaland,Pleasant,High,48318,Cost Level: High,Local Cuisine: 1582 INR per day,Luxury Resort: 1057 INR per night,"Dzükou Valley, Kohima War Cemetery","Wildlife Safari, Trekking, Boating",Low,3.5/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,No,Art Exhibitions
Manipur,Chilly,Low,36206,Cost Level: Low,Local Cuisine: 1564 INR per day,Luxury Resort: 4354 INR per night,"Kangla Fort, Loktak Lake","Trekking, River Rafting, Wildlife Safari",Low,4.8/5,Winter,Manipuri,Very Safe,No,Festival
Assam,Sunny,Medium,39465,Cost Level: High,Local Cuisine: 1955 INR per day,3-star: 1803 INR per night,"Kaziranga National Park, Majuli Island","Trekking, Wildlife Safari, Boating",High,4.2/5,Winter,Assamese,Safe for Solo Travelers,No,Festival
Assam,Chilly,Low,13832,Cost Level: High,Local Cuisine: 1211 INR per day,3-star: 3593 INR per night,"Kaziranga National Park, Majuli Island",Boating,High,3.6/5,Winter,Assamese,Moderately Safe,No,Local Traditions
Arunachal Pradesh,Sunny,High,17376,Cost Level: High,Local Cuisine: 1598 INR per day,Luxury Resort: 4389 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Boating, River Rafting",High,4.2/5,Summer,"Hindi, English",Safe for Solo Travelers,Yes,Festival
Tripura,Pleasant,Low,41741,Cost Level: High,Local Cuisine: 806 INR per day,Luxury Resort: 2119 INR per night,"Neermahal, Ujjayanta Palace",Wildlife Safari,High,3.9/5,Summer,"Bengali, Kokborok",Safe for Solo Travelers,No,Local Traditions
Tripura,Chilly,Medium,19693,Cost Level: High,Local Cuisine: 849 INR per day,Homestay: 4157 INR per night,"Ujjayanta Palace, Neermahal","Cultural Tours, Boating",Low,3.6/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Art Exhibitions
Meghalaya,Chilly,Medium,8956,Cost Level: High,Local Cuisine: 1295 INR per day,3-star: 1498 INR per night,"Living Root Bridges, Cherrapunji","River Rafting, Boating",Moderate,4.3/5,Winter,"Khasi, Garo",Safe for Solo Travelers,No,Local Traditions
Nagaland,Sunny,Low,23621,Cost Level: Low,Local Cuisine: 1100 INR per day,Luxury Resort: 2610 INR per night,"Dzükou Valley, Kohima War Cemetery","Trekking, Cultural Tours",Moderate,4.7/5,Winter,"English, Nagamese",Moderately Safe,No,Festival
Nagaland,Pleasant,Medium,5814,Cost Level: Low,Local Cuisine: 1028 INR per day,Homestay: 3357 INR per night,"Dzükou Valley, Kohima War Cemetery","Boating, Wildlife Safari, Cultural Tours",High,4.3/5,Winter,"English, Nagamese",Moderately Safe,Yes,Art Exhibitions
Tripura,Pleasant,High,43234,Cost Level: Low,Local Cuisine: 1145 INR per day,Luxury Resort: 3021 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, River Rafting",Low,4.8/5,Summer,"Bengali, Kokborok",Very Safe,No,Art Exhibitions
Arunachal Pradesh,Sunny,Medium,33189,Cost Level: Low,Local Cuisine: 1479 INR per day,3-star: 2449 INR per night,"Ziro Valley, Tawang Monastery","Boating, River Rafting, Wildlife Safari",Moderate,4.1/5,Summer,"Hindi, English",Safe for Solo Travelers,No,Art Exhibitions
Arunachal Pradesh,Sunny,Low,14384,Cost Level: Low,Local Cuisine: 1772 INR per day,Homestay: 3168 INR per night,"Tawang Monastery, Ziro Valley","Boating, Cultural Tours",Moderate,4.0/5,Monsoon,"Hindi, English",Very Safe,No,Art Exhibitions
Assam,Chilly,Low,48524,Cost Level: Low,Local Cuisine: 1725 INR per day,Luxury Resort: 1664 INR per night,"Kaziranga National Park, Majuli Island","River Rafting, Wildlife Safari",Low,4.0/5,Summer,Assamese,Very Safe,Yes,Local Traditions
Arunachal Pradesh,Sunny,High,45972,Cost Level: Low,Local Cuisine: 1414 INR per day,Homestay: 2359 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, River Rafting, Boating",Low,3.6/5,Winter,"Hindi, English",Moderately Safe,Yes,Local Traditions
Assam,Pleasant,Low,37820,Cost Level: Low,Local Cuisine: 1852 INR per day,Homestay: 2620 INR per night,"Kaziranga National Park, Majuli Island",Trekking,High,4.3/5,Monsoon,Assamese,Safe for Solo Travelers,Yes,Art Exhibitions
Mizoram,Rainy,Low,46614,Cost Level: High,Local Cuisine: 853 INR per day,3-star: 4722 INR per night,"Phawngpui National Park, Vantawng Falls","Trekking, Cultural Tours",Moderate,4.5/5,Summer,Mizo,Moderately Safe,No,Festival
Assam,Sunny,Medium,41140,Cost Level: High,Local Cuisine: 1452 INR per day,3-star: 4406 INR per night,"Kaziranga National Park, Majuli Island",River Rafting,Moderate,3.9/5,Winter,Assamese,Moderately Safe,No,Local Traditions
Meghalaya,Sunny,High,20520,Cost Level: Low,Local Cuisine: 1794 INR per day,Luxury Resort: 3431 INR per night,"Living Root Bridges, Cherrapunji",Trekking,Moderate,3.6/5,Summer,"Khasi, Garo",Very Safe,Yes,Festival
Tripura,Sunny,Medium,9734,Cost Level: Low,Local Cuisine: 1786 INR per day,Homestay: 3340 INR per night,"Neermahal, Ujjayanta Palace",Boating,Low,3.8/5,Winter,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Art Exhibitions
Tripura,Chilly,High,6564,Cost Level: Low,Local Cuisine: 1512 INR per day,Luxury Resort: 4196 INR per night,"Ujjayanta Palace, Neermahal","Boating, Cultural Tours",High,4.6/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Art Exhibitions
Manipur,Rainy,Medium,36402,Cost Level: High,Local Cuisine: 689 INR per day,Homestay: 4252 INR per night,"Kangla Fort, Loktak Lake",Cultural Tours,Moderate,4.1/5,Summer,Manipuri,Moderately Safe,No,Local Traditions
Nagaland,Rainy,Low,19142,Cost Level: High,Local Cuisine: 1832 INR per day,3-star: 1336 INR per night,"Dzükou Valley, Kohima War Cemetery","Wildlife Safari, River Rafting",Moderate,4.8/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,Yes,Local Traditions
Tripura,Chilly,Low,45693,Cost Level: Low,Local Cuisine: 1486 INR per day,Homestay: 4242 INR per night,"Ujjayanta Palace, Neermahal","Boating, Cultural Tours, River Rafting",Low,4.2/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Art Exhibitions
Assam,Rainy,Medium,24162,Cost Level: High,Local Cuisine: 786 INR per day,Luxury Resort: 3867 INR per night,"Kaziranga National Park, Majuli Island",Boating,Low,3.6/5,Monsoon,Assamese,Moderately Safe,No,Art Exhibitions
Manipur,Rainy,Low,45412,Cost Level: Low,Local Cuisine: 906 INR per day,Luxury Resort: 1514 INR per night,"Kangla Fort, Loktak Lake","Cultural Tours, Trekking, River Rafting",Moderate,4.7/5,Monsoon,Manipuri,Safe for Solo Travelers,Yes,Art Exhibitions
Arunachal Pradesh,Chilly,High,45861,Cost Level: Low,Local Cuisine: 1438 INR per day,Homestay: 2292 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, Trekking, Boating",High,4.5/5,Winter,"Hindi, English",Moderately Safe,Yes,Festival
Assam,Rainy,Low,19489,Cost Level: High,Local Cuisine: 1703 INR per day,3-star: 2847 INR per night,"Kaziranga National Park, Majuli Island","Trekking, River Rafting, Cultural Tours",High,4.2/5,Monsoon,Assamese,Moderately Safe,No,Local Traditions
Nagaland,Chilly,High,46045,Cost Level: Low,Local Cuisine: 1291 INR per day,Luxury Resort: 1361 INR per night,"Dzükou Valley, Kohima War Cemetery","Wildlife Safari, Trekking",Low,4.5/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,No,Local Traditions
Arunachal Pradesh,Sunny,High,16733,Cost Level: High,Local Cuisine: 1097 INR per day,3-star: 4377 INR per night,"Tawang Monastery, Ziro Valley",River Rafting,Moderate,3.5/5,Summer,"Hindi, English",Very Safe,Yes,Local Traditions
Tripura,Sunny,Low,29443,Cost Level: Low,Local Cuisine: 1833 INR per day,3-star: 5000 INR per night,"Neermahal, Ujjayanta Palace","Trekking, River Rafting",Moderate,4.2/5,Winter,"Bengali, Kokborok",Very Safe,Yes,Festival
Nagaland,Rainy,Medium,48772,Cost Level: High,Local Cuisine: 1054 INR per day,3-star: 1763 INR per night,"Dzükou Valley, Kohima War Cemetery","Wildlife Safari, River Rafting",Low,3.6/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,No,Art Exhibitions
Tripura,Sunny,Low,13510,Cost Level: Low,Local Cuisine: 834 INR per day,Homestay: 1001 INR per night,"Neermahal, Ujjayanta Palace",Cultural Tours,Moderate,4.7/5,Winter,"Bengali, Kokborok",Very Safe,No,Festival
Mizoram,Chilly,Low,21063,Cost Level: Low,Local Cuisine: 1755 INR per day,Luxury Resort: 2518 INR per night,"Vantawng Falls, Phawngpui National Park","Cultural Tours, Trekking, River Rafting",Low,3.8/5,Monsoon,Mizo,Safe for Solo Travelers,No,Local Traditions
Nagaland,Chilly,Low,31392,Cost Level: Low,Local Cuisine: 1329 INR per day,Homestay: 4256 INR per night,"Dzükou Valley, Kohima War Cemetery","Trekking, Boating, Cultural Tours",Low,4.1/5,Summer,"English, Nagamese",Very Safe,Yes,Art Exhibitions
Nagaland,Chilly,Low,10053,Cost Level: High,Local Cuisine: 1649 INR per day,3-star: 3624 INR per night,"Kohima War Cemetery, Dzükou Valley","River Rafting, Boating",High,4.8/5,Monsoon,"English, Nagamese",Moderately Safe,Yes,Local Traditions
Nagaland,Chilly,Medium,48115,Cost Level: Low,Local Cuisine: 1407 INR per day,Homestay: 1673 INR per night,"Kohima War Cemetery, Dzükou Valley","Cultural Tours, River Rafting",Moderate,4.4/5,Summer,"English, Nagamese",Moderately Safe,No,Local Traditions
Tripura,Pleasant,Medium,38927,Cost Level: High,Local Cuisine: 684 INR per day,3-star: 3538 INR per night,"Neermahal, Ujjayanta Palace",River Rafting,Low,4.3/5,Monsoon,"Bengali, Kokborok",Moderately Safe,No,Art Exhibitions
Mizoram,Chilly,Medium,20938,Cost Level: Low,Local Cuisine: 1063 INR per day,Luxury Resort: 4231 INR per night,"Phawngpui National Park, Vantawng Falls",Trekking,High,4.4/5,Monsoon,Mizo,Moderately Safe,Yes,Festival
Arunachal Pradesh,Chilly,Medium,22158,Cost Level: Low,Local Cuisine: 1936 INR per day,Luxury Resort: 2091 INR per night,"Tawang Monastery, Ziro Valley",Wildlife Safari,Low,3.6/5,Summer,"Hindi, English",Moderately Safe,Yes,Art Exhibitions
Meghalaya,Pleasant,Medium,8791,Cost Level: High,Local Cuisine: 1150 INR per day,3-star: 4766 INR per night,"Cherrapunji, Living Root Bridges",River Rafting,High,4.1/5,Monsoon,"Khasi, Garo",Moderately Safe,Yes,Local Traditions
Manipur,Rainy,Medium,33183,Cost Level: High,Local Cuisine: 1756 INR per day,Luxury Resort: 1881 INR per night,"Loktak Lake, Kangla Fort",Trekking,Moderate,4.0/5,Monsoon,Manipuri,Moderately Safe,No,Festival
Arunachal Pradesh,Sunny,Medium,38726,Cost Level: High,Local Cuisine: 1407 INR per day,3-star: 4507 INR per night,"Ziro Valley, Tawang Monastery",River Rafting,Low,4.5/5,Monsoon,"Hindi, English",Very Safe,No,Festival
Meghalaya,Rainy,High,23745,Cost Level: Low,Local Cuisine: 1250 INR per day,Homestay: 1789 INR per night,"Living Root Bridges, Cherrapunji",Boating,High,4.9/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,Yes,Art Exhibitions
Nagaland,Rainy,Low,40197,Cost Level: Low,Local Cuisine: 609 INR per day,Luxury Resort: 3988 INR per night,"Kohima War Cemetery, Dzükou Valley",Boating,Low,4.7/5,Winter,"English, Nagamese",Safe for Solo Travelers,Yes,Local Traditions
Mizoram,Pleasant,Medium,20679,Cost Level: High,Local Cuisine: 1638 INR per day,Homestay: 1475 INR per night,"Vantawng Falls, Phawngpui National Park","Cultural Tours, Boating",Moderate,3.9/5,Winter,Mizo,Very Safe,No,Art Exhibitions
Mizoram,Chilly,High,14254,Cost Level: High,Local Cuisine: 534 INR per day,Homestay: 4470 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Wildlife Safari, Boating",High,4.5/5,Monsoon,Mizo,Safe for Solo Travelers,Yes,Local Traditions
Mizoram,Pleasant,Low,42973,Cost Level: High,Local Cuisine: 1662 INR per day,Luxury Resort: 2117 INR per night,"Vantawng Falls, Phawngpui National Park","River Rafting, Cultural Tours",High,4.9/5,Monsoon,Mizo,Very Safe,Yes,Art Exhibitions
Assam,Sunny,Low,48000,Cost Level: High,Local Cuisine: 1619 INR per day,Luxury Resort: 4279 INR per night,"Kaziranga National Park, Majuli Island","Wildlife Safari, River Rafting, Boating",Low,3.7/5,Monsoon,Assamese,Very Safe,Yes,Art Exhibitions
Nagaland,Pleasant,Medium,23045,Cost Level: Low,Local Cuisine: 719 INR per day,Homestay: 1758 INR per night,"Kohima War Cemetery, Dzükou Valley","Cultural Tours, Trekking",Moderate,3.6/5,Winter,"English, Nagamese",Moderately Safe,Yes,Festival
Assam,Chilly,Medium,36972,Cost Level: High,Local Cuisine: 1476 INR per day,3-star: 4777 INR per night,"Majuli Island, Kaziranga National Park",Cultural Tours,High,3.5/5,Summer,Assamese,Very Safe,Yes,Local Traditions
Tripura,Rainy,High,23003,Cost Level: High,Local Cuisine: 1314 INR per day,3-star: 1894 INR per night,"Ujjayanta Palace, Neermahal",Boating,High,4.1/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,No,Art Exhibitions
Manipur,Chilly,High,42448,Cost Level: High,Local Cuisine: 919 INR per day,Luxury Resort: 3344 INR per night,"Kangla Fort, Loktak Lake","Wildlife Safari, Trekking, River Rafting",Moderate,4.4/5,Winter,Manipuri,Safe for Solo Travelers,No,Festival
Arunachal Pradesh,Sunny,Low,41976,Cost Level: Low,Local Cuisine: 1723 INR per day,3-star: 1213 INR per night,"Ziro Valley, Tawang Monastery","Boating, Wildlife Safari",High,3.8/5,Winter,"Hindi, English",Moderately Safe,Yes,Local Traditions
Nagaland,Sunny,Medium,5574,Cost Level: Low,Local Cuisine: 1526 INR per day,Homestay: 3981 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Trekking, Wildlife Safari",Low,4.6/5,Summer,"English, Nagamese",Safe for Solo Travelers,No,Art Exhibitions
Manipur,Chilly,Low,37117,Cost Level: High,Local Cuisine: 1415 INR per day,Luxury Resort: 1936 INR per night,"Loktak Lake, Kangla Fort","Trekking, Cultural Tours, Wildlife Safari",High,3.6/5,Winter,Manipuri,Very Safe,Yes,Art Exhibitions
Assam,Chilly,High,15288,Cost Level: Low,Local Cuisine: 806 INR per day,Homestay: 1084 INR per night,"Kaziranga National Park, Majuli Island","River Rafting, Trekking, Boating",Low,4.7/5,Summer,Assamese,Moderately Safe,Yes,Art Exhibitions
Meghalaya,Rainy,Medium,17719,Cost Level: Low,Local Cuisine: 1313 INR per day,Homestay: 4325 INR per night,"Cherrapunji, Living Root Bridges","Boating, Trekking, Cultural Tours",Moderate,4.7/5,Monsoon,"Khasi, Garo",Very Safe,Yes,Local Traditions
Meghalaya,Rainy,Medium,22665,Cost Level: Low,Local Cuisine: 1550 INR per day,Luxury Resort: 2052 INR per night,"Living Root Bridges, Cherrapunji","Cultural Tours, River Rafting",High,4.9/5,Summer,"Khasi, Garo",Moderately Safe,Yes,Local Traditions
Assam,Rainy,High,26556,Cost Level: Low,Local Cuisine: 979 INR per day,Luxury Resort: 3822 INR per night,"Kaziranga National Park, Majuli Island","River Rafting, Trekking",Low,3.8/5,Summer,Assamese,Moderately Safe,No,Art Exhibitions
Tripura,Rainy,Medium,21678,Cost Level: High,Local Cuisine: 1303 INR per day,Luxury Resort: 1934 INR per night,"Ujjayanta Palace, Neermahal",Wildlife Safari,Low,4.1/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Local Traditions
Meghalaya,Chilly,High,23560,Cost Level: Low,Local Cuisine: 1027 INR per day,Luxury Resort: 2121 INR per night,"Cherrapunji, Living Root Bridges","Wildlife Safari, Trekking, Boating",Moderate,4.6/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,Yes,Festival
Arunachal Pradesh,Pleasant,Medium,25321,Cost Level: High,Local Cuisine: 1542 INR per day,Homestay: 2543 INR per night,"Ziro Valley, Tawang Monastery","Boating, Wildlife Safari",Moderate,3.6/5,Winter,"Hindi, English",Safe for Solo Travelers,No,Art Exhibitions
Nagaland,Rainy,High,19661,Cost Level: High,Local Cuisine: 1132 INR per day,3-star: 4631 INR per night,"Kohima War Cemetery, Dzükou Valley","River Rafting, Trekking",Moderate,3.8/5,Monsoon,"English, Nagamese",Moderately Safe,No,Art Exhibitions
Manipur,Sunny,Medium,44160,Cost Level: Low,Local Cuisine: 1911 INR per day,Homestay: 1340 INR per night,"Loktak Lake, Kangla Fort",Boating,Low,3.7/5,Winter,Manipuri,Safe for Solo Travelers,No,Art Exhibitions
Mizoram,Chilly,Medium,46905,Cost Level: Low,Local Cuisine: 1968 INR per day,Luxury Resort: 1939 INR per night,"Vantawng Falls, Phawngpui National Park","Cultural Tours, River Rafting, Trekking",Low,4.9/5,Monsoon,Mizo,Very Safe,No,Festival
