State,Weather,Budget Level,Budget (INR),Transportation Options,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights,Food Cost (INR),Hotel Cost (INR)
2,1,1,39802,0,2,23,0,4.9,0,5,2,1,0,1179,3
0,2,0,49379,0,13,80,1,4.5,0,3,0,1,1,793,4427
4,0,1,26392,1,9,51,0,3.5,2,6,1,1,0,1529,2067
0,2,0,40446,0,13,67,0,4.4,0,3,0,0,2,1668,1770
4,0,1,11205,0,12,1,0,4.0,0,6,1,0,2,753,3
3,3,0,36002,1,5,56,1,4.0,2,4,2,1,0,1862,3
3,3,0,47546,1,5,34,2,4.4,0,4,0,1,1,1721,3
0,3,2,10685,0,10,29,0,4.0,0,3,1,1,0,1340,3
3,2,1,31910,1,5,43,1,4.8,0,4,1,1,0,1843,3989
0,0,0,23142,0,10,20,2,3.9,2,3,2,1,2,1240,2671
5,1,1,43323,0,4,77,0,4.7,1,2,0,1,2,1363,3582
5,1,0,21474,1,4,68,1,4.5,2,2,1,1,0,702,3
4,0,0,43316,1,12,5,0,4.7,1,6,0,0,2,1781,2152
3,2,2,17147,1,5,56,1,4.0,0,4,1,0,0,1623,3125
1,1,0,43145,1,3,35,0,4.3,1,0,1,1,1,1263,1373
1,3,0,18287,0,3,69,1,3.6,2,0,0,0,1,657,1010
4,2,0,32868,0,12,73,2,3.6,2,6,2,1,2,1767,3
3,1,0,17817,0,5,55,1,4.9,2,4,1,0,2,576,3
4,3,0,45189,1,9,49,1,4.6,2,6,2,0,2,1798,3510
0,2,1,40333,0,13,5,2,4.5,0,3,0,1,0,545,3
0,0,1,21590,0,10,25,1,3.9,0,3,1,1,1,1816,4488
5,0,0,13108,0,1,39,2,3.5,1,2,0,1,1,1054,2989
3,3,0,29569,0,0,14,2,4.5,2,4,2,1,0,1225,3250
5,0,0,5177,1,4,36,2,3.9,1,2,2,0,0,566,3
0,1,0,15030,0,10,69,1,3.8,0,3,1,0,1,1942,3119
0,1,1,39083,1,13,39,0,4.5,1,3,1,1,1,1952,3
4,1,2,47507,1,9,79,1,3.8,2,6,1,0,1,1271,1413
4,2,1,41304,0,12,35,0,4.9,1,6,1,1,0,748,3
4,0,2,35445,1,9,50,0,4.9,1,6,2,0,0,1532,4616
1,3,0,20446,0,7,51,1,4.1,1,0,0,0,2,1887,4101
0,1,2,16178,1,10,19,1,4.7,2,3,1,0,0,812,3
1,1,1,21519,0,7,0,1,4.1,1,0,1,1,1,870,3469
6,0,0,35869,1,11,54,0,4.5,2,1,1,0,0,1380,4036
6,1,0,10714,0,11,52,2,4.0,2,1,2,0,0,1763,3896
3,1,2,39318,1,0,17,0,4.2,2,4,0,0,0,622,3
5,2,1,42529,0,4,68,2,3.8,2,2,1,1,2,770,4708
0,2,0,47834,1,10,73,1,4.5,0,3,0,1,2,660,1501
1,3,0,44065,1,3,51,1,3.5,1,0,0,0,1,1813,3623
3,2,0,30131,0,5,44,0,3.8,0,4,1,1,1,1712,4624
0,2,0,42070,0,13,14,1,4.4,0,3,2,1,2,1663,4773
1,1,0,48155,1,7,6,0,3.7,2,0,1,0,1,1939,2948
4,2,1,23371,1,9,5,0,4.6,0,6,0,1,2,1505,3109
5,3,0,47494,0,1,17,0,4.5,1,2,1,0,1,1142,3390
0,0,0,24751,1,13,70,2,4.1,2,3,0,0,0,1458,1687
6,1,2,30054,0,11,19,0,3.6,1,1,1,0,1,678,1874
2,0,2,44201,0,6,51,2,3.5,0,5,0,0,0,981,3
1,3,0,26745,0,3,17,2,3.7,1,0,2,0,0,1265,3037
6,3,2,31748,0,11,51,2,4.2,2,1,1,0,0,1813,4068
6,3,2,49534,0,11,58,0,3.9,2,1,0,0,1,1659,1124
4,3,2,16598,1,9,69,0,3.9,2,6,1,0,1,1084,1499
0,1,2,30975,1,10,0,0,4.5,2,3,2,1,2,1921,3
5,1,0,21927,0,4,13,1,3.6,2,2,0,0,0,1271,2470
0,2,2,39047,0,10,57,2,3.8,1,3,1,1,1,1533,1650
3,2,0,45159,1,0,32,2,4.0,1,4,1,0,1,1020,3
5,2,2,42679,1,1,68,2,4.0,1,2,1,0,0,793,1493
2,2,2,14383,1,6,47,1,4.7,1,5,2,0,2,1946,3
1,0,1,10361,0,7,66,2,4.4,2,0,0,1,2,916,3
4,0,0,38173,0,12,34,1,3.9,2,6,1,0,0,1224,3
5,0,1,44198,0,4,56,1,5.0,1,2,2,1,0,1062,3387
3,1,1,21223,1,5,7,0,4.5,2,4,2,0,0,1701,3
6,3,1,35092,1,11,31,2,4.4,1,1,0,0,2,1638,3415
2,2,1,33051,0,2,17,0,5.0,1,5,1,0,2,986,3983
3,3,1,9369,0,0,6,0,3.5,1,4,1,1,0,1298,1279
5,3,0,46689,1,1,51,2,3.9,0,2,0,0,0,1509,2620
4,0,2,40514,1,9,17,0,4.9,1,6,1,1,1,1947,2662
5,1,0,12839,1,4,60,1,4.3,2,2,1,0,1,601,3
4,0,2,14560,1,9,34,1,4.4,1,6,0,1,2,909,3199
2,0,0,8359,0,6,79,1,3.9,2,5,1,1,1,1734,3
4,2,1,9254,0,12,13,2,3.7,1,6,0,1,2,1806,2780
6,1,0,32575,0,8,54,2,4.6,1,1,1,1,2,1325,3
0,1,0,33026,1,10,68,0,4.3,0,3,1,0,1,662,1211
6,2,0,17584,1,8,51,0,3.7,1,1,1,0,2,1555,3697
2,0,2,25562,1,6,17,0,4.6,1,5,0,1,1,1884,3
2,2,1,28818,1,6,53,1,5.0,0,5,0,1,2,1637,3
5,1,1,33438,0,4,42,0,4.1,2,2,0,1,1,1713,3420
1,0,1,39454,1,7,56,2,3.8,2,0,2,1,2,541,3
1,3,2,25082,1,3,17,2,4.8,2,0,0,1,2,1723,3
6,0,1,15681,0,8,43,2,4.4,0,1,0,0,2,1543,3
3,3,2,12856,0,0,77,2,4.5,0,4,2,0,2,1605,3197
3,3,0,12250,1,5,75,0,4.8,0,4,1,0,2,1077,3680
2,2,2,21452,1,6,58,1,4.7,0,5,2,1,2,1888,4862
3,0,0,28071,0,5,47,0,4.8,1,4,1,1,2,1900,3
4,3,0,8208,0,12,9,2,4.1,2,6,1,0,0,932,1816
6,2,0,37636,0,11,34,2,4.8,1,1,2,0,1,1580,3019
1,2,0,43921,1,3,60,0,4.4,0,0,0,1,0,1411,3
1,1,1,8511,0,3,46,2,3.7,0,0,2,0,1,1139,3840
4,0,1,28293,1,12,34,0,4.9,2,6,2,1,2,1391,3
5,1,2,10890,1,1,68,1,3.7,0,2,2,0,0,1560,4156
2,2,0,27881,1,6,7,2,4.6,0,5,1,1,0,1069,3
4,1,0,25176,1,9,17,2,4.8,1,6,0,1,2,505,4007
0,2,2,16442,0,10,21,2,3.9,0,3,2,0,2,996,1659
4,2,2,24724,1,9,80,1,4.8,1,6,0,0,2,1522,4046
5,3,0,16710,0,4,60,1,4.7,2,2,2,1,0,1473,2704
3,0,1,34941,0,5,34,0,3.8,2,4,1,0,0,1712,1012
4,2,0,16358,0,9,35,1,4.9,1,6,0,0,2,1645,4017
5,2,0,47301,0,4,58,2,4.7,2,2,0,0,0,1387,1177
5,1,0,16664,0,1,68,1,4.6,2,2,0,0,2,1804,3
2,3,0,14948,1,6,34,2,4.0,2,5,1,0,2,1942,3335
3,0,0,41983,1,5,24,0,4.8,0,4,0,1,1,1225,4238
5,3,1,38941,1,4,13,2,4.0,2,2,1,1,2,1770,1723
4,3,1,38824,0,9,30,1,4.4,2,6,0,0,0,1974,1864
4,1,0,38341,0,9,70,2,4.9,2,6,0,1,2,1669,4182
5,0,1,36787,1,1,28,2,3.6,1,2,0,1,2,1894,3
1,0,2,28073,0,7,51,1,4.6,1,0,1,1,0,630,1221
5,0,1,41776,1,1,46,0,5.0,1,2,2,0,0,744,3
3,3,0,12955,1,5,69,2,5.0,1,4,2,0,1,1602,3058
0,0,2,28690,0,10,51,2,3.6,1,3,2,0,2,598,3583
3,0,2,46703,1,5,0,1,4.2,2,4,0,1,1,1449,2974
0,2,2,49218,1,13,59,2,4.9,0,3,1,1,0,916,3
6,3,1,15490,1,8,43,1,3.8,2,1,0,1,2,1956,3592
5,1,2,27764,1,1,7,0,4.1,1,2,1,1,0,1375,3
4,3,0,38201,1,9,51,1,3.9,0,6,1,0,1,600,3
4,3,2,14019,1,9,0,1,4.6,0,6,0,1,1,1326,2663
4,3,2,31951,0,9,60,1,4.5,2,6,2,1,2,1730,3
0,0,0,44246,1,13,28,0,4.4,0,3,2,0,0,1714,3
0,3,2,5924,1,13,15,1,4.8,0,3,0,1,0,884,3
2,1,2,47416,0,6,32,0,4.3,1,5,1,0,1,1708,1478
1,0,2,25406,1,3,17,0,4.6,1,0,1,0,0,1764,3
5,3,2,33578,0,1,81,0,4.7,1,2,0,0,1,604,3
2,0,2,23732,1,2,80,1,4.7,0,5,2,1,2,1495,3
5,0,0,7841,1,1,71,2,4.4,0,2,1,1,1,1291,1408
3,2,0,41114,1,5,0,0,4.8,2,4,2,0,1,1559,3409
5,2,0,38428,1,4,81,2,4.1,2,2,0,1,1,1844,2062
5,3,1,44002,1,1,17,2,4.6,2,2,1,0,1,623,3072
2,1,1,45506,1,2,15,2,4.3,0,5,2,0,1,1751,3268
2,0,1,47169,1,6,84,1,3.6,2,5,2,0,0,1848,3177
5,1,2,39794,0,1,0,0,5.0,2,2,2,1,1,723,1195
1,3,0,46420,0,3,59,0,4.7,2,0,1,1,0,609,1635
6,2,2,7968,1,8,68,2,5.0,0,1,0,0,2,1908,1014
2,3,2,18780,1,2,34,1,4.4,1,5,2,1,0,917,3
5,3,2,7672,0,1,32,0,3.7,2,2,0,0,0,914,2956
4,2,1,31963,0,12,56,2,4.9,0,6,2,0,1,1780,1303
2,1,0,21537,0,2,28,0,3.7,0,5,2,1,0,1215,3
3,1,1,34390,0,0,66,2,4.1,2,4,1,1,1,868,1076
2,0,1,37793,0,6,43,0,3.9,2,5,0,1,2,907,3
0,0,1,44875,0,10,43,1,4.9,0,3,2,0,2,1304,3
6,0,2,48157,0,8,82,0,3.6,1,1,1,1,2,524,2572
6,1,2,23215,1,8,63,1,4.3,0,1,0,0,1,1317,4462
5,2,1,30736,0,1,43,2,4.7,2,2,1,0,1,1489,1684
2,1,2,9820,1,6,68,1,3.6,2,5,0,1,1,1159,4715
3,3,0,30666,1,0,34,0,4.1,2,4,0,0,1,1885,3
1,3,2,5633,1,7,50,1,4.3,2,0,2,1,1,895,3
1,0,2,14783,0,7,68,2,4.3,0,0,0,0,1,1371,2262
4,2,0,16884,0,12,0,2,4.1,0,6,0,0,1,1409,3
0,2,1,36258,1,13,3,0,3.9,0,3,1,1,0,1674,4272
1,1,2,42512,1,3,51,0,4.3,0,0,2,1,2,756,4794
5,1,2,17179,1,4,51,0,4.2,1,2,1,1,1,698,3931
5,1,0,45988,0,1,52,0,4.1,1,2,1,0,0,1958,4689
2,0,2,12000,0,2,62,0,4.8,2,5,1,1,0,1759,3
4,0,1,10426,0,9,17,1,4.9,0,6,1,1,1,1683,1437
1,2,0,15794,1,7,17,0,4.9,0,0,2,1,1,819,3100
0,2,1,32584,1,10,17,0,4.5,1,3,0,0,2,1846,3474
0,0,1,26858,1,13,61,2,4.2,1,3,2,0,1,1507,1017
4,0,0,14698,1,12,47,2,3.5,2,6,1,1,2,1973,4577
4,1,1,47442,0,12,51,2,3.9,2,6,1,1,0,1651,3212
2,2,0,35974,1,2,12,1,3.7,1,5,1,1,1,1188,3
6,3,2,15138,0,11,64,0,4.7,1,1,1,0,1,1624,3843
0,1,1,17284,1,10,34,0,5.0,2,3,0,0,0,596,3
0,3,2,8682,1,10,70,2,4.3,0,3,2,1,1,1330,3
2,0,1,15256,1,2,17,1,4.0,0,5,2,1,2,894,4297
2,0,2,27887,0,6,77,1,4.9,1,5,1,0,0,937,2424
5,3,0,48143,0,1,68,0,4.1,2,2,2,0,2,1070,3795
4,1,0,30537,0,12,62,1,3.6,0,6,1,1,2,1964,3
6,0,1,33339,0,11,68,0,4.1,0,1,2,0,2,1369,1423
0,0,2,27351,0,10,50,1,3.5,0,3,1,0,1,1197,1383
1,2,0,33782,0,7,5,1,4.1,1,0,1,1,2,1649,3
5,1,1,28037,0,4,26,1,3.6,2,2,2,1,1,666,3
1,2,1,33986,0,3,82,1,4.7,1,0,2,1,1,1384,4037
2,1,2,19484,0,6,41,2,3.9,0,5,1,1,2,1250,3
1,3,0,20209,0,7,23,1,4.6,0,0,0,1,1,1314,3
6,2,2,36015,1,8,17,1,4.5,1,1,0,0,1,736,3492
4,1,0,30838,0,12,43,1,4.7,2,6,0,1,0,1296,4389
1,3,2,38999,1,7,37,2,4.0,2,0,0,1,1,928,4918
1,1,2,10417,1,3,64,0,4.6,0,0,2,1,1,1758,3
3,2,2,21682,1,5,66,0,5.0,1,4,0,1,1,855,3
5,2,2,25724,0,4,71,0,4.0,0,2,0,0,1,1849,4021
4,3,2,34132,0,12,51,0,4.6,0,6,2,1,2,1007,3041
5,1,0,6700,0,1,64,0,3.7,1,2,1,0,0,1217,3158
0,0,1,48932,0,13,32,2,3.6,1,3,1,0,2,1819,2756
2,3,1,33332,1,6,68,0,3.9,2,5,0,0,2,1303,3963
5,2,2,13913,1,1,17,0,4.9,1,2,0,1,2,1014,3
0,2,1,16475,0,13,21,1,3.8,0,3,2,1,2,1522,3
6,1,2,35799,0,11,34,0,4.6,0,1,1,0,2,1151,3
5,0,1,37640,0,4,34,2,5.0,1,2,0,1,2,1931,3
6,2,1,31852,1,11,64,0,4.6,0,1,1,0,2,575,4872
3,3,0,43647,0,5,38,2,4.8,1,4,0,1,2,1371,4520
1,3,0,13560,1,7,26,2,4.1,2,0,0,1,1,833,1408
4,2,1,9343,0,12,77,0,4.9,0,6,2,0,2,1672,1492
4,1,2,40191,0,12,48,1,4.9,0,6,0,0,0,1417,2248
3,3,0,14031,0,0,51,1,4.5,0,4,2,0,2,860,3
3,2,2,18171,1,0,68,2,4.5,2,4,2,0,0,1590,4659
3,1,1,33116,0,5,74,2,3.8,0,4,0,0,2,786,3
5,2,0,30405,1,1,0,1,4.1,2,2,1,1,2,1844,4132
5,3,0,48590,1,1,76,0,3.8,2,2,1,0,0,1213,4241
3,0,2,7361,0,0,17,0,4.4,0,4,2,1,1,1189,3344
4,0,0,46131,1,9,53,1,3.7,1,6,2,0,2,653,3
4,0,2,36889,1,9,52,2,3.6,0,6,1,1,2,1911,4561
2,3,2,22634,0,6,47,1,4.3,1,5,1,0,0,1597,2388
4,2,1,12105,0,9,10,1,5.0,1,6,0,1,0,578,2802
2,1,2,19671,1,2,14,0,3.6,0,5,1,1,0,1516,3
0,2,2,13920,1,13,70,1,4.4,0,3,0,0,1,1773,4896
2,1,1,39866,0,2,68,2,4.6,0,5,1,0,1,647,1694
6,2,2,8592,0,11,40,2,3.8,1,1,2,1,0,1082,2518
0,0,0,35954,0,13,0,1,4.6,2,3,1,1,1,1053,3
4,3,1,11781,0,9,73,1,4.3,2,6,1,0,1,1499,3335
4,1,2,33397,0,9,57,0,5.0,0,6,2,1,1,780,1046
1,3,0,17226,1,3,17,2,3.7,0,0,0,0,1,1041,3
3,2,0,42249,1,5,19,0,4.9,0,4,0,1,1,626,3850
2,3,1,20166,1,6,0,2,4.5,0,5,1,1,0,1030,3
0,3,1,20890,0,13,34,2,3.8,2,3,1,1,0,1923,3
5,1,0,36367,0,1,76,0,4.3,2,2,0,0,2,821,1984
4,1,1,30024,0,9,81,1,3.6,0,6,1,1,1,1345,3850
3,2,0,20476,0,5,18,2,4.7,1,4,0,0,1,983,1256
1,0,1,24091,1,7,39,1,4.0,0,0,1,1,1,1620,3
3,0,1,8103,0,0,51,2,4.5,0,4,0,1,1,1935,1472
0,2,2,36219,0,10,12,1,3.8,2,3,1,1,2,1451,3
3,3,1,26374,0,0,26,1,3.9,0,4,1,0,2,859,4503
1,3,1,18657,1,3,57,2,4.0,2,0,2,1,2,1047,3
5,1,1,23773,1,4,22,2,3.8,0,2,1,0,0,1563,3
3,1,0,33266,0,0,23,2,4.8,0,4,0,0,2,502,2871
6,2,0,25432,1,11,1,0,4.5,2,1,0,1,2,1581,3
5,1,2,28725,0,4,31,2,4.0,1,2,1,0,1,1177,2752
6,2,2,21387,0,8,25,2,4.4,0,1,1,1,1,1046,4423
1,0,1,41066,1,7,32,2,4.5,2,0,1,1,0,1955,3
5,3,0,24293,0,1,81,2,4.1,0,2,2,0,1,1575,3703
1,1,1,39516,0,3,17,1,3.9,0,0,2,0,0,1159,4610
4,1,0,8164,0,9,34,1,4.1,1,6,0,0,1,848,3
2,3,1,10207,0,2,37,0,4.4,1,5,2,0,1,535,3736
3,3,2,22204,1,5,36,2,4.3,2,4,1,1,1,654,3
5,0,0,31063,1,4,32,0,4.6,2,2,1,0,1,958,1494
5,1,1,16084,0,4,0,2,4.0,1,2,2,0,1,1711,3
3,1,2,37923,0,0,76,2,3.7,2,4,1,0,1,1061,3182
4,0,1,6076,0,12,43,0,3.8,0,6,2,0,2,1975,3
5,2,2,7926,1,1,51,1,3.6,1,2,0,0,1,1850,3
1,1,1,24035,0,7,17,1,4.5,0,0,1,0,0,1580,2243
3,2,1,31764,0,0,5,0,5.0,1,4,0,0,1,1413,3
5,0,2,47051,0,1,80,0,4.2,2,2,1,0,0,1802,2208
1,3,0,38833,0,7,78,0,4.4,0,0,0,0,2,1700,3
0,3,2,12410,1,13,13,2,4.6,0,3,1,1,1,1803,1398
5,2,1,38636,0,4,58,2,4.3,0,2,1,1,0,1670,3198
5,2,0,19623,1,1,17,2,4.9,2,2,2,1,2,1524,3656
5,3,2,20819,1,1,51,0,4.8,0,2,2,0,0,1219,4139
3,3,0,6746,1,5,13,2,3.7,1,4,1,0,0,1255,4786
6,2,2,6687,0,11,39,0,4.6,1,1,2,0,0,1900,2614
1,0,0,28387,1,7,14,1,4.1,0,0,2,0,1,1446,3
5,3,2,25893,0,1,79,0,4.8,0,2,0,1,2,1622,2156
0,0,2,17037,0,13,51,1,3.9,0,3,1,1,1,1365,4396
6,3,0,7339,0,11,7,1,3.7,0,1,2,1,2,1622,2560
5,0,2,49776,1,1,41,2,4.3,1,2,2,1,1,816,2157
4,2,2,17728,0,12,13,2,4.1,2,6,2,0,2,1095,2794
5,1,1,35227,1,1,51,2,3.5,2,2,2,1,1,989,2740
6,1,0,6600,0,8,17,1,4.1,1,1,1,1,1,1533,2504
0,1,1,48738,1,13,34,1,4.3,0,3,0,0,1,1218,4445
3,0,0,9528,1,5,51,2,4.8,0,4,2,0,1,1489,4721
1,2,2,43023,0,3,1,0,3.9,1,0,0,0,0,1590,4749
6,0,2,38928,1,11,56,2,3.7,1,1,1,1,0,1525,3
4,1,2,36870,1,9,51,2,3.6,0,6,0,1,0,920,1285
0,0,1,19273,0,13,60,1,4.7,0,3,2,1,0,1208,4886
6,0,2,29340,0,11,68,1,4.1,2,1,1,0,2,1515,3
1,3,1,17378,0,3,81,0,4.2,1,0,0,0,0,1735,1744
2,1,0,10260,1,6,17,1,3.5,2,5,0,0,0,1280,2529
3,3,0,27319,0,0,75,1,4.7,2,4,1,0,2,720,2046
2,3,1,19203,0,6,80,0,4.4,2,5,0,1,2,1871,3
2,0,0,23270,1,6,66,1,4.1,1,5,1,0,0,637,3
0,1,2,14822,0,13,17,2,4.3,0,3,2,1,1,1367,1562
1,2,2,43822,0,3,34,1,4.5,1,0,0,1,2,692,1798
6,3,1,24059,0,11,9,0,4.6,2,1,0,0,2,1059,3
3,1,1,41149,0,0,43,1,4.4,1,4,2,1,0,677,3
1,1,1,9815,0,3,54,0,4.1,1,0,0,0,0,861,3
6,0,1,32340,0,8,52,0,5.0,1,1,0,1,2,739,3
5,0,1,11492,0,1,82,0,5.0,1,2,2,1,2,1444,3298
5,3,1,7744,0,1,68,2,4.0,1,2,2,1,2,978,3203
6,1,1,17391,0,8,68,2,3.9,0,1,2,1,1,812,1017
3,0,2,39096,0,0,73,0,4.9,2,4,2,1,2,1426,3
4,1,1,21489,0,12,44,0,3.7,0,6,1,0,1,1610,2505
0,1,2,26281,1,13,51,0,4.4,1,3,2,1,0,746,1353
6,0,1,28667,0,11,13,0,4.5,0,1,2,1,1,1332,3173
0,1,1,42377,0,13,0,0,4.2,1,3,0,0,1,1788,4441
0,2,1,34046,0,10,65,1,4.2,1,3,1,1,1,985,3
6,0,2,24858,0,8,45,2,4.5,2,1,1,1,0,802,3
3,3,1,17441,0,0,43,0,3.7,2,4,0,0,2,1424,1167
6,3,1,24668,1,11,79,1,4.2,0,1,2,0,0,1940,3
5,0,2,49310,1,1,51,2,5.0,0,2,1,0,1,1162,3276
5,0,2,16546,1,4,0,1,3.6,1,2,0,1,0,1694,4167
3,1,1,19382,0,0,81,2,3.8,1,4,0,0,0,1344,3
1,2,0,41760,1,3,17,1,3.8,2,0,2,1,1,970,3
5,0,0,11177,0,1,68,2,4.7,2,2,2,1,2,1198,3558
4,0,2,20035,0,9,54,2,3.8,0,6,0,1,1,1363,3944
3,1,0,27791,0,5,58,0,4.1,1,4,2,1,2,1716,2470
1,3,1,26974,1,7,17,1,4.6,0,0,1,0,0,1826,2055
2,2,2,35414,0,6,68,0,4.0,0,5,0,0,2,1519,3
6,1,2,14511,1,11,71,1,4.3,2,1,1,0,2,1231,1089
6,3,1,11516,1,11,30,1,4.7,0,1,1,1,1,954,3958
0,2,0,37991,1,13,66,2,3.7,2,3,2,1,1,1108,1463
3,0,1,22986,1,5,34,1,4.2,2,4,2,1,0,1042,3
5,3,1,48837,1,4,57,2,3.9,2,2,0,1,2,694,3
2,3,1,11918,0,2,0,1,4.0,0,5,1,1,1,973,2858
2,0,1,40534,0,6,56,0,3.9,0,5,0,0,0,1792,3079
3,1,2,46364,0,0,18,0,4.9,0,4,2,0,0,693,3
4,3,1,10695,1,12,11,1,4.1,0,6,0,1,1,1927,2249
4,3,2,42292,1,12,1,0,4.3,2,6,2,0,1,572,3029
4,0,2,34783,1,12,51,1,4.9,1,6,2,1,2,1525,2271
4,0,2,21862,1,9,39,2,4.5,0,6,2,0,0,657,1713
1,1,0,17623,0,3,77,2,4.2,1,0,0,0,0,1561,1007
4,3,0,11439,0,9,72,1,5.0,1,6,1,0,1,611,3
1,0,0,45146,0,3,49,1,3.8,2,0,2,1,1,1175,4342
5,0,1,17220,1,4,34,2,4.7,2,2,2,1,1,1584,3
6,0,0,42149,0,8,51,2,4.2,0,1,0,0,0,844,3
0,1,1,17164,1,10,68,2,3.8,0,3,1,0,0,1324,3
3,1,1,35952,1,0,71,0,4.9,1,4,1,1,0,1732,3
4,1,2,19259,0,12,17,1,5.0,2,6,2,1,2,730,3
6,0,2,33939,1,11,34,0,4.2,0,1,2,1,2,509,4446
1,3,1,30627,0,7,6,2,3.5,0,0,2,0,0,676,3626
4,1,1,22690,0,9,17,0,4.8,0,6,2,0,1,1838,2488
3,1,2,34924,0,0,52,2,3.8,2,4,0,1,1,1546,3
1,0,2,28091,0,7,0,0,3.7,0,0,2,1,0,1882,3897
1,1,0,19521,1,7,47,1,4.6,0,0,1,1,2,1459,2490
6,0,1,32982,1,11,17,2,4.9,0,1,0,1,1,1670,3
3,0,2,15821,1,5,18,0,4.7,2,4,2,1,1,1593,1845
5,0,2,49274,0,1,14,0,4.8,2,2,1,0,2,527,1220
0,1,1,36320,1,10,51,2,3.7,2,3,1,0,1,1650,3
1,0,2,13318,0,3,45,0,4.9,2,0,1,1,2,1907,3404
1,3,2,48986,1,7,59,2,4.0,1,0,0,0,1,611,3
6,0,2,18159,0,11,68,1,4.4,0,1,2,1,1,1868,3
6,0,1,20980,0,11,68,0,3.5,2,1,1,0,0,1246,3
3,1,0,49796,0,0,52,2,4.9,2,4,2,1,0,1893,3
0,1,2,40993,1,13,53,0,4.8,1,3,0,1,0,1481,4439
0,0,2,18166,1,13,73,1,4.5,1,3,1,1,1,1507,1841
4,1,1,15465,0,9,73,1,4.4,1,6,2,1,0,712,3780
3,2,0,15159,1,5,9,2,3.6,2,4,2,1,1,1716,4028
3,2,2,24000,0,5,80,1,4.7,2,4,2,1,0,773,3
0,3,0,30942,0,10,35,1,4.7,2,3,0,1,1,1370,3
4,2,0,17280,0,9,0,0,4.1,0,6,1,0,1,1565,1505
3,0,1,23243,1,5,51,1,4.6,1,4,1,1,2,882,2979
4,0,1,26853,0,12,5,2,3.6,2,6,1,0,0,702,3920
0,3,2,10993,1,10,38,1,4.9,0,3,1,1,0,1163,3
2,1,0,36414,1,2,39,1,4.4,1,5,2,1,2,1141,4549
3,3,0,18032,0,5,38,2,4.1,2,4,1,1,0,763,2164
5,2,1,30205,0,1,17,0,4.8,0,2,1,0,1,783,2032
2,2,2,13588,0,2,17,0,4.9,2,5,2,0,2,1109,4048
2,1,1,15794,1,2,77,1,5.0,0,5,2,0,1,726,1212
5,1,0,13617,0,1,0,1,4.9,2,2,0,0,2,1122,3
0,3,0,16668,1,10,77,2,4.9,2,3,2,1,1,506,3
6,0,0,11022,0,11,17,2,3.8,1,1,2,0,0,1653,3
6,3,0,14918,1,8,34,0,4.3,0,1,2,1,0,1433,3934
6,0,0,44074,1,11,50,0,4.4,0,1,2,1,2,709,3
5,1,1,11312,1,1,34,1,4.9,2,2,0,1,2,815,3
2,0,2,47310,1,2,51,0,4.3,2,5,1,1,2,1594,2207
3,1,0,16605,1,0,68,1,5.0,0,4,1,0,0,523,4268
5,2,2,17234,0,1,66,0,4.9,1,2,0,0,0,1255,4278
6,1,2,22692,0,11,65,0,3.7,0,1,0,0,2,1761,2181
5,1,2,49796,0,1,35,2,4.7,0,2,2,0,2,1453,2098
0,0,1,18187,1,13,1,0,4.0,1,3,1,1,0,1463,3
0,0,2,9762,1,13,0,0,4.6,0,3,2,0,0,1784,3
6,0,0,17402,1,11,35,0,4.7,2,1,0,0,1,1695,4702
1,1,1,41563,0,3,42,0,3.8,0,0,1,0,2,1681,2199
1,2,1,49076,0,7,5,2,4.2,1,0,2,1,1,1186,4220
3,1,1,30228,0,5,53,1,4.6,0,4,2,0,0,872,3
6,2,0,7728,1,8,73,2,4.8,2,1,2,0,2,1960,2785
4,0,0,6280,1,12,69,1,4.8,2,6,1,1,2,863,2360
6,1,0,30032,1,11,75,2,4.7,0,1,0,1,1,1698,3
6,0,0,11448,0,8,17,2,4.3,2,1,0,0,2,678,3
2,3,2,33853,0,2,51,1,3.6,2,5,0,1,2,1024,3152
6,1,0,12076,1,11,25,0,4.2,0,1,0,1,1,612,4186
6,0,1,13568,1,11,48,0,4.1,2,1,2,1,0,1095,1701
5,2,0,13799,1,1,68,1,3.7,1,2,0,0,0,1903,3
5,0,0,16338,1,1,66,1,4.5,1,2,1,0,1,1866,3
6,2,1,20425,1,11,49,1,4.7,0,1,2,1,0,1987,4363
5,0,1,49125,0,1,17,2,4.1,0,2,1,1,2,502,3
1,1,2,41205,1,3,34,0,4.6,2,0,1,0,2,1075,3
2,3,0,49434,0,6,9,0,5.0,2,5,1,1,2,1422,1895
5,0,0,23831,0,4,59,0,4.0,1,2,1,1,1,1262,4693
6,0,2,35551,1,11,60,0,4.7,0,1,2,0,0,1432,3
3,0,2,19624,1,5,68,1,3.9,0,4,0,1,2,1240,4308
4,1,1,21956,1,9,10,2,4.7,1,6,1,0,0,1184,1466
2,0,1,44626,0,2,26,0,5.0,2,5,2,0,0,1743,3
4,1,2,46015,0,12,17,2,4.2,0,6,0,1,0,1752,4162
5,2,2,30431,0,1,50,2,4.4,1,2,2,1,1,1297,2855
6,3,0,29485,1,8,34,0,3.7,2,1,2,1,1,1720,3077
1,2,2,39401,1,3,77,1,4.4,0,0,2,1,1,653,1716
3,1,1,49006,0,5,36,2,4.9,2,4,0,1,0,1372,1356
5,2,1,27852,0,4,64,0,4.6,0,2,0,0,0,1384,3
